nr;datum;Nederlands;Grieks;woordsoort;nota;thema
0001;2025-09-24;Welkom!;Καλώς όρισες!;zin;;converseren, uitdrukkingen
0002;2025-09-24;persoonlijke gegevens;τα ατομικά στοιχεία;znw.;;converseren
0003;2025-09-24;achternaam;(το) επώνυμο;znw.;;converseren
0004;2025-09-24;naam;(το) όνομα;znw.;;converseren
0005;2025-09-24;het land van herkomst;η χώρα προέλευσης;znw.;;geografie, cultuur
0006;2025-09-24;adres;(η) διεύθυνση;znw.;;wonen, routines
0007;2025-09-24;volgorde;παραγγέλνω;;;grammatica
0008;2025-09-24;noedels;(τα) λαζάνια;znw.;;
0009;2025-09-24;telefoon;(το) τηλέφωνο;znw.;;converseren
0010;2025-09-24;handtekening;(η) υπογραφή;znw.;;dingen
0011;2025-09-24;een herhaling;μια επανάληψη;znw.;;school, maatschappij
0012;2025-09-24;meer;πιο πολύ;bijw.;;hoeveelheden, meten
0013;2025-09-24;algemeen;κοινός -ή -ό;bnw.;;dingen
0014;2025-09-24;bijna;σχεδόν;bijw.;;hoeveelheden, meten
0015;2025-09-24;Zijn jullie uitgerust?;Ξεκουραστήκατε;;ww.;;converseren
0016;2025-09-24;zich herinneren;θυμάμαι;ww.;;school, maatschappij
0017;2025-09-24;proberen;προσπαθώ;ww.;;converseren
0018;2025-09-24;kiezen;διαλέγω;ww.;;converseren
0019;2025-09-24;binnenkomen;μπαίνω;ww.;;reizen, routines
0020;2025-09-24;helpen;βοηθάω;ww.;;converseren
0021;2025-09-24;zoeken;ψάχνω;ww.;;converseren
0022;2025-09-24;volgen;παρακολουθώ;ww.;;converseren
0023;2025-09-24;bellen;καλώ;ww.;;converseren
0024;2025-09-24;drankje;(το) ποτό;znw.;;
0025;2025-09-24;vragen;ζητάω;ww.;;converseren
0026;2025-09-24;groeten;χαιρετάω;ww.;;converseren
0027;2025-09-24;lawaai;(ο) θόρυβος;znw.;;dingen
0028;2025-09-24;kantine;(το) κυλικείο;znw.;;dingen
0029;2025-09-24;hulp， assistent;(ο) βοηθός;znw.;;beroepen, maatschappij
0030;2025-09-24;geluksvogel;(ο) τυχερός;znw.;;dingen
0031;2025-09-24;ouder (znw.);(ο) γονέας， (ο) γονιός;znw.;;
0032;2025-09-24;begin;η αρχή;znw.;;
0033;2025-09-24;tuin;(ο) κήπος;znw.;;
0034;2025-09-24;computer;ο υπολογιστής;znw.;;beroepen, maatschappij
0035;2025-09-24;herhaling;(η) επανάληψη;znw.;;
0036;2025-09-24;zoekertjes， advertenties;οι αγγελίες;znw.;;cultuur
0037;2025-09-24;traagheid;(η) αργή;znw.;;tijd, meten
0038;2025-09-24;land， natie;(η) χώρα;znw.;;geografie, cultuur
0039;2025-09-24;geld;¹(τα) χρήματα ²(τα) λεφτά;znw.;;winkelen, routines
0040;2025-09-24;minuten;(τα) λεπτά;znw.;;tijd, meten
0041;2025-09-24;vaak;συχνά;bijw.;;hoeveelheden, tijd, meten
0042;2025-09-24;soms;τις μερικές φορές;bijw.;;hoeveelheden, tijd, meten
0043;2025-10-01;Het is 8:15.;Η ώρα είναι 8:15.;zin;;tijd, kalender, meten
0044;2025-10-01;Het is twee (uur (precies)).;Είναι δύο (η ώρα (ακριβώς)).;zin;;tijd, kalender, meten
0045;2025-10-01;slaap;(ο) ύπνος;znw.;;lichaam, behoeftes
0046;2025-10-01;rust;(η) ξεκούραση;znw.;;dingen
0047;2025-10-01;wij allemaal;όλοι μας;zin;;
0048;2025-10-01;vergeten;ξεχνώ;ww.;;
0049;2025-10-01;(uit)rusten;ξεκουράζομαι;;;
0050;2025-10-01;roos;(το) τριαντάφυλλο;znw.;;natuur
0051;2025-10-01;pauze;(το) διάλειμμα;znw.;;tijd, meten
0052;2025-10-01;Ik neem even een pauze van mijn werk.;Σχολάω από τη δουλειά.;zin;;
0053;2025-10-01;werk;(η) δουλειά;znw.;;beroepen, maatschappij
0054;2025-10-01;koorts;(ο) πυρετός;znw.;;lichaam, behoeftes
0055;2025-10-01;kapperszaak， barbier;(το) κομμωτήριο;znw.;;
0056;2025-10-01;kapper, kapster;(ο) κομμωτής, (η) κομμώτρια;znw.;;
0057;2025-10-01;¹het koud hebben ²koelen;κρυώνω;ww.;;grammatica
0058;2025-10-01;zoveel;τόσος -η -ο;bnw.;;hoeveelheden, meten
0059;2025-10-01;vroeg;νωρίς;bijw.;;tijd, meten
0060;2025-10-01;laat;αργά;bijw.;;tijd, meten
0061;2025-10-01;Ik ben Savvas’ dochter.;Είμαι το κορίτσι του Σάββα.;znw.;;
0062;2025-10-01;Ik ben de vriend van Nefeli.;Είμαι ο φίλος της Νεφέλης.;znw.;;
0063;2025-10-01;wat;τι;vnw.;;grammatica
0064;2025-10-01;welke， wie;ποιο(ς);vnw.;;grammatica
0065;2025-10-01;Welke kleur bevalt je?;Τι/Ποιο χρώμα σου αρέσει;;vraagzin;;converseren
0066;2025-10-01;Welk(e) wijn wil je? Wit, rood, Grieks…;Τι κρασί θέλεις; Λευκό, μαύρο, Ελληνικό…;vraagzin;;voedsel, dingen
0067;2025-10-01;Welke wijn wilt u? Syrah, Bordeaux…;Ποιο κρασί θέλετε; Σιρά, Μπορντό…;vraagzin;;voedsel, dingen
0068;2025-10-01;wie;ποιος -η -ο;bnw.;;grammatica
0069;2025-10-01;verleden;περασμένος -η -ο;bnw.;;tijd, meten
0070;2025-10-01;laatste;τελευταίος -η -ο;bnw.;;hoeveelheden, meten
0071;2025-10-01;misschien;ίσως;bijw.;;grammatica
0072;2025-12-10;ik zing een liedje;λέω ένα τραγούδι;zin;
