υπερλήμμα	λήμμα	CEF level	Συχνότητα (Frequency)	τύπος λέξης
	ο	A1	9863164	ορισ. άρθρ.	
	και	A1	2179461	συμπλ. σύνδ.
και	και άλλα			αόρ. αντων.	
και	και οι δύο			έκφρ.	
και	και τα λοιπά			επίθ.	
	να	A1	1312144	μόρ.	
	εγώ	A1	997655	προσ. αντων., ουσ.
	είμαι	A1	856323	βοηθ. ρ.
	που	A1	765582	αναφ. αντων., επίρρ.
	από	A1	756239	πρόθ.	
από	από κοντά			επιρρηματική φράση	
από	από κοινού			επιρρηματική φράση
από	από πίσω			επιρρηματική φράση	
	με	A1	723344	πρόθ., αντων.
με	με λίγα λόγια			επιρρηματική φράση	
με	με σκοπό να			επιρρηματική φράση	
με	με τα χέρια			επιρρηματική φράση	
με	με τον ίδιο τρόπο			επιρρηματική φράση	
με	με το όνομα			επιρρηματική φράση	
	για	A1	689557	πρόθ.	
για	για παράδειγμα			επιρρηματική φράση	
για	για πάντα			επιρρηματική φράση	
για	για καιρό			επιρρηματική φράση	
για	για κάθε ενδεχόμενο			επιρρηματική φράση	
	ένας	A1	605389	αόρ. άρθρ., αριθ.
	αυτονομία	A1	522979	ουσ.	
	δεν	A1	521342	μόρ.	
δεν	δεν πειράζει			ρ.	
	σε	A1	477601	πρόθ., αντων.
σε	σε αντίθεση με			έκφρ.	
σε	σε αυτό			έκφρ.	
σε	σε εξέλιξη			έκφρ.	
σε	σε λίγο			επιρρηματική φράση	
σε	σε όλες τις περιπτώσεις			έκφρ.	
σε	σε περίπτωση που			έκφρ.	
σε	σε σύγκριση με			έκφρ.	
σε	σε σχέση με			έκφρ.	
	έχω	A1	475460	ρ.	
έχω	έχω γέλιο			ρ.	
	θα	A1	405923	μόρ., βοηθ. ρ.
	ότι	A1	316703	υποτ., σύνδ.
	μπορώ	A1	193919	ρ.	
	ή	A1	188311	συμπλ. σύνδ.
	όλος	A1	187481	επίθ.	
	αν	A1	184316	υποτ., σύνδ.
	άλλος	A1	178914	αόρ. αντων.
	αλλά	A1	175261	συμπλ. σύνδ.
	κάνω	A1	158969	ρ.	
κάνω	κάνω βόλτα			ρ.	
κάνω	κάνω κλικ			ρ.	
κάνω	κάνω δουλειά			ρ.	
κάνω	κάνω εντύπωση			ρ.	
κάνω	κάνω θόρυβο			ρ.	
κάνω	κάνω κράτηση			ρ.	
κάνω	κάνω λάθος			ρ.	
κάνω	κάνω σκι			ρ.	
κάνω	κάνω μπάνιο			ρ.	
	οποίος	A1	145866	αναφ. αντων.
	πολύ	A1	120829	επίρρ., επίθ.
	πολύς	A1	119238	επίρρ., επίθ.
	γίνομαι	A1	115933	βοηθ. ρ.
	υπάρχω	A1	111230	ρ.	
	μεγάλος -η -ο	A1	108405	κ.ό.	
μεγάλος	μεγάλος αδελφός			ονοματική φράση	
μεγάλη	μεγάλη αδελφή			ονοματική φράση	
	όπως	A1	104707	επίρρ., πρόθ.
όπως	όπως-όπως			επίρρ.	
όπως	όπως και να έχει			επίρρ.
	πρέπει	A1	101371	βοηθ. ρ.
	βλέπω	A1	100552	ρ.	
	κατά	A1	99247	πρόθ.	
κατά	κατά βούληση			έκφρ.	
κατά	κατά κανόνα			επιρρηματική φράση
κατά	κατά κύριο λόγο			έκφρ.	
κατά	κατά μήκος			έκφρ.	
κατά	κατά πολύ			επιρρηματική φράση
κατά	κατά προτίμηση			έκφρ.	
κατά	κατά προσέγγιση			έκφρ.	
κατά	κατά προτίμηση			έκφρ.	
κατά	κατά τη διάρκεια			έκφρ.	
	μην	A1	96991	μόρ.	
	κάποιος	A1	96676	αόρ. αντων.
	ως	A1	95817	επίρρ., μόρ., πρόθ.
	όταν	A1	91287	υποτ., σύνδ.
	τι	A1	88075	ερ. αντων.
	γιατί	A1	87700	υποτ., επίρρ., ουσ., σύνδ.
	νέος	A1	85989	επίθ.	
	θέλω	A1	85055	ρ.	
	καλός	A1	84165	επίθ.	
	όμως	A1	83903	συμπλ. σύνδ.
	χρόνος	A1	83832	ουσ.	
χρόνος	χρόνια πολλά			έκφρ., επιφ.
χρόνος	και του χρόνου			έκφρ.	
χρόνος	χρόνος εργασίας			ονοματική φράση	
	βρίσκω	A1	83748	ρ.	
	πως	A1	81401	υποτ., επίρρ.
	ακόμα, ακόμη	A1	75497	επίρρ.	
ακόμα	ακόμα/η και			έκφρ.	
ακόμα	ακόμα/η και αν			έκφρ.	
	ίδιος	A1	74925	επίθ.	
	όχι	A1	74769	επίρρ., επιφ., ουσ.
	μετά	A1	74655	πρόθ., επίρρ.
	μόνο	A1	73669	επίρρ., επίθ., σύνδ.
	μέσα	A1	73611	επίρρ., επίθ., ουσ.
	κανένας	A1	73202	αόρ. αντων.
	κάθε	A1	72743	αόρ. αντων.
κάθε	κάθε μέρα			επιρρηματική φράση	
κάθε	κάθε χρόνο			επιρρηματική φράση	
κάθε	κάθε ώρα			επιρρηματική φράση	
	πιο	A1	72152	επίρρ.	
δύο	δύο, δυο	A1	70369	απόλ.	
δύο	δύο πλευρές			επιρρηματική φράση	
δύο	δύο φορές			επιρρηματική φράση	
	ανθρωπότητα	A1	69033	ουσ.	
	όλο	A1	67545	επίρρ., επίθ.
όλο	όλο το σώμα			επιρρηματική φράση	
	προς	A1	65957	πρόθ.	
προς	προς το παρόν			επιρρηματική φράση
προς	προς τα πίσω			επιρρηματική φράση
προς	προς τα πάνω			έκφρ.	
προς	προς τα μέσα			έκφρ.	
προς	προς τα κάτω			επιρρηματική φράση	
προς	προς όφελος του			έκφρ.	
	δίνω	A1	65510	ρ.	
δίνω	δίνω έμφαση			ρ.	
δίνω	δίνω τη δυνατότητα			ρ.	
	πρώτος	A1	64645	τακτ., επίθ.
πρώτος	πρώτες ύλες			ονοματική φράση	
	έτσι	A1	61196	επίρρ., ουσ.
έτσι	έτσι κι έτσι			επιρρηματική φράση	
	θέμα	A1	59675	ουσ.	
	πηγαίνω	A1	59346	ρ.	
πηγαίνω	πηγαίνω με όχημα			ρ.	
πηγαίνω	πηγαίνω πεζός			ρ.	
	σαν	A1	59230	επίρρ., πρόθ.
	παίρνω	A1	59098	ρ.	
	ελληνικός	A1	59093	επίθ.	
	κάτι	A1	56396	αόρ. αντων.
	λόγος	A1	54504	ουσ.	
	ζωή	A1	53962	ουσ.	
	τώρα	A1	51873	επίρρ.	
	ξέρω	A1	51811	ρ.	
	χωρισμένος	A1	51317	επίθ., μτχ.
	καλά	A1	49325	επίρρ., επίθ.
	φορά	A1	48908	ουσ., επίθ.
	παιδί	A1	47520	ουσ.	
	εδώ	A1	47429	επίρρ.	
	μικρός	A1	46783	επίθ.	
μικρός	μικρή ποσότητα			ονοματική φράση	
	κόσμος	A1	46204	ουσ.	
	γράφω	A1	46185	ρ.	
γράφω	γράφω κριτική			ρ.	
	μέχρι	A1	45559	πρόθ., επίρρ., σύνδ.
μέχρι	μέχρι τώρα			επιρρηματική φράση	
	επίσης	A1	44576	επίρρ.	
	τότε	A1	44476	επίρρ.	
	ενώ	A1	42940	υποτ., σύνδ.
	πάνω	A1	42790	επίρρ.	
	τόσο	A1	42608	επίρρ., αντων.
	δικός	A1	42234	επίθ., αντων.
	εκείνος	A1	41722	δεικτ. αντων.
	ούτε	A1	41057	συμπλ. σύνδ.
ούτε	ούτε ένας			αόρ. άρθρ.	
	θεός	A1	40611	ουσ., επίθ.
	τρόπος	A1	40441	ουσ.	
τρόπος	τρόπος ζωής			ονοματική φράση	
τρόπος	τρόπος του λέγειν			ονοματική φράση	
	θέση	A1	39957	ουσ.	
θέση	θέση εργασίας			ονοματική φράση	
	χρήσιμος	A1	39357	επίθ.	
	Ελλάδα	A1	38969	κ.ό.	
	πρόβλημα	A1	38873	ουσ.	
	σήμερα	A1	38839	επίρρ., ουσ.
	ομάδα	A1	38694	ουσ.	
ομάδα	ομάδα-στόχος			ονοματική φράση	
ομάδα	ομάδα εργασίας			ονοματική φράση	
	εκεί	A1	38632	επίρρ.	
	έρχομαι	A1	38295	ρ.	
έρχομαι	έρχομαι σε επαφή			ρ.	
	μέλος	A1	37672	ουσ.	
μέλος	μέλος της βουλής			ονοματική φράση	
	πριν	A1	37526	πρόθ., επίρρ., σύνδ.
πριν	πριν από			επιρρηματική φράση	
πριν	πριν από λίγες μέρες			επιρρηματική φράση	
	τελευταίος	A1	36902	επίθ.	
	ποιος	A1	36821	αόρ. αντων.
	χωράφι	A1	36761	ουσ.	
	καθώς	A1	36333	υποτ., σύνδ.
	περίπτωση	A1	36106	ουσ.	
	ωραία	A1	36101	επίθ., επίρρ.
	μαζί	A1	35896	επίρρ.	
μαζί	μαζί με			επιρρηματική φράση	
μαζί	μαζί μου			επιρρηματική φράση	
	περιοχή	A1	35729	ουσ.	
	αναφέρω	A1	35724	ρ.	
	όπου	A1	35589	επίρρ.	
	τέτοιος	A1	35238	δεικτ. αντων.
	αποτελώ	A1	34400	ρ.	
	πολιτικός	A1	34154	επίθ., ουσ.
	σύστημα	A1	33615	ουσ.	
	αρχή	A1	33514	ουσ.	
	έργο	A1	33450	ουσ.	
	πράγμα	A1	33400	ουσ.	
	μέρος	A1	33366	ουσ.	
	σχέση	A1	33201	ουσ.	
	μιλάω, μιλώ	A1	33069	ρ.	
	δηλαδή	A1	32844	επίρρ., σύνδ.
	περνάω, περνώ	A1	32578	ρ.	
	λοιπόν	A1	32308	επίρρ., επίθ.
	βάζω	A1	32141	ρ.	
	ιστορία	A1	31992	ουσ.	
	αρχίζω	A1	31950	ρ.	
	κύριος	A1	31896	ουσ., επίθ.
κύριος	κύριος ρόλος			ονοματική φράση	
	όσος	A1	31878	επίθ., αντων.
	μεταξύ	A1	31712	πρόθ., επίρρ.
μεταξύ	στο μεταξύ			έκφρ.	
μεταξύ	μεταξύ μας			προσ. αντων.	
	αφού	A1	31631	υποτ., σύνδ.
	ακούω	A1	31592	ρ.	
	πιστεύω	A1	31350	ρ.	
	μέρα	A1	31235	ουσ.	
	τέλος	A1	30616	ουσ.	
	θεωρώ	A1	30498	ρ.	
	πάντα	A1	30436	επίρρ.	
	παίζω	A1	30014	ρ.	
	αποτέλεσμα	A1	29925	ουσ.	
	άρθρο	A1	29725	ουσ.	
	βιβλίο	A1	29649	ουσ.	
	απλά	A1	29169	επίρρ., επίθ.
	ποτέ	A1	29137	επίρρ., επίθ.
	επειδή	A1	28979	υποτ., σύνδ.
	στιγμή	A1	28976	ουσ.	
	επί	A1	28591	πρόθ.	
επί	επί του παρόντος	 		έκφρ.	
	φαίνομαι	A1	28169	ρ.	
	πρόγραμμα	A1	28028	ουσ.	
	γνωρίζω	A1	27984	ρ.	
	ειδικός	A1	27983	επίθ.	
	ας	A1	27430	μόρ., βοηθ. ρ.
	αφήνω	A1	27209	ρ.	
	δημιουργώ	A1	27086	ρ.	
	κάτω	A1	26962	επίρρ., πρόθ.
κάτω	κάτω από			επιρρηματική φράση	
	ωστόσο	A1	26926	συμπλ. σύνδ.
	παρά	A1	26818	πρόθ.	
	χρέος	A1	26759	ουσ.	
	εθνικός	A1	26687	επίθ.	
	χάος	A1	26679	ουσ.	
	στοιχείο	A1	26625	ουσ.	
	λίγος	A1	26613	επίθ.	
	διαβάζω	A1	26612	ρ.	
	πόλη	A1	26577	ουσ.	
	άγιος	A1	26458	επίθ.	
	κοινωνικός	A1	26036	επίθ.	
κοινωνικός	κοινωνική επιστήμη			ονοματική φράση	
	γυναίκα	A1	25992	ουσ.	
	άτομο	A1	25979	ουσ.	
άτομο	άτομο με ειδικές ανάγκες			ονοματική φράση	
	τίποτα	A1	25949	αόρ. αντων.
	φίλος	A1	25796	ουσ., επίθ.
	δύναμη	A1	25789	ουσ.	
	σημαντικός	A1	25277	επίθ.	
	καταλαβαίνω	A1	25180	ρ.	
πού	πού και πού	A1	24959	επιρρηματική φράση
	ημέρα	A1	24842	ουσ.	
	όνομα	A1	24763	ουσ.	
	είδος	A1	24696	ουσ.	
	σημείο	A1	24635	ουσ.	
 σημείο	σημείο εξόδου			ονοματική φράση	
	σπίτι	A1	24625	ουσ.	
	τύπος	A1	24506	ουσ.	
	μήνυμα	A1	24485	ουσ.	
	ίσως	A1	24363	επίρρ.	
	κακός	A1	24314	επίθ.	
	κατάσταση	A1	24026	ουσ.	
	νομίζω	A1	23905	ρ.	
	εργασία	A1	23795	ουσ.	
	ζητάω	A1	23711	ρ.	
	Έλληνας	A1	23685	κ.ό.	
