el_proverb	en_literal	en_equivalent	nl_literal	nl_equivalent
Κάλλιο πέντε και ’ς το χέρι παρά δέκα και καρτέρι.	Better five and in the hand than ten and delay.	A bird in the hand is worth two in the bush.	Beter vijf in de hand dan tien op uitstel.	Beter één vogel in de hand dan tien in de lucht.
Όπου λαλούν πολλοι πετεινοί, αργει να ξημερώση.	Where many cocks crow, it delays to dawn.	Too many cooks spoil the broth.	Waar veel hanen kraaien, laat de dageraad op zich wachten.	Waar veel koks zijn, wordt de brij dun.
Οι πολλοι καραβοκυραίοι πνίγουσι το καράβι.	Many commanders sink the ship.	Too many cooks spoil the broth.	Veel scheepskapiteins doen het schip vergaan.	Waar veel koks zijn, wordt de brij dun.
Απο ανθρώπου σπανον τρίχα δεν μπορεις να βγάλης.	You cannot pull a hair from (the chin of) a smooth-faced man.	You cannot get blood out of a stone.	Van een baardloze man kun je geen haar trekken.	Van een kale kip kun je geen veren plukken.
Εις την αναβροχια, καλο και το χαλάζι.	In drought even hail is good.	Half a loaf is better than no bread.	In de droogte is zelfs hagel goed.	Beter iets dan niets.
Όταν η αυλη σου διψα, μη χύνης το νερον έξω.	When your courtyard is dry, do not throw water outside.	Charity begins at home.	Als je eigen binnenplaats dorst heeft, gooi het water niet naar buiten.	Naastenliefde begint bij jezelf.
Ο γάδαρος ωνόμασε τον πετεινον κεφάλα.	The donkey called the cock big-head.	The pot called the kettle black.	De ezel noemde de haan dikhoofd.	De pot verwijt de ketel dat hij zwart ziet.
Το σταμνι που πάει συχνα ’ς τη βρύση μια μέρα σπαει.	The pitcher that goes often to the fountain one day is broken.	The pitcher that goes often to the well is broken at last.	De kruik die vaak naar de bron gaat, breekt op een dag.	Wie vaak naar de put gaat, breekt zijn kruik.
Με μια ριξια δυο πουλια χτύπησε.	With one throw he hit two birds.	To kill two birds with one stone.	Met één worp raakte hij twee vogels.	Twee vliegen in één klap.
Όποιος κυνηγα πολλους λαγους,κανένα δεν πιάνει.	Whoever chases many hares does not catch one.	Jack-of-all-trades and master of none.	Wie veel hazen jaagt, vangt er geen.	Wie te veel hooi op zijn vork neemt, laat alles vallen.
Τάλαντα του σου χαρίζουν εις τα δόντια μη το βλέπης.	Do not look at the teeth of the horse that they make you a present of.	Do not look a gift-horse in the mouth.	Kijk niet naar de tanden van een paard dat men je schenkt.	Een gegeven paard mag je niet in de bek kijken.
Του Γιάννη δωρο του δώσαν κι’ αυτος μομπάζει του έβρισκε.	They gave a present to John and he found fault with it.	Do not look a gift-horse in the mouth.	Men gaf Jan een geschenk en hij vond er gebreken aan.	Een gegeven paard mag je niet in de bek kijken.
Πέτρα που κυλα θεμέλιο δεν πιάνει.	A stone that rolls does not acquire firmness.	A rolling stone gathers no moss.	Een steen die rolt, krijgt geen fundament.	Een rollende steen vergadert geen mos.
Ο σκύλος που γαυγίζει δεν δαγκάνει.	The dog that barks does not bite.	His bark is worse than his bite.	De hond die blaft, bijt niet.	Honden die blaffen, bijten niet.
Η παπας παπας, η ζευγας ζευγας.	Let a priest be a priest, and a ploughman a ploughman.	Let the cobbler stick to his last.	Laat de priester priester zijn en de boer boer.	Schoenmaker, blijf bij je leest.
Μάτια που δεν φαίνονται γρήγορα λησμονουνται.	The eyes which are not seen are soon forgotten.	Out of sight, out of mind.	Ogen die men niet ziet, worden snel vergeten.	Uit het oog, uit het hart.
Αργυρο το μίλημα, χρυσο το σιώπα.	Speech is silver, silence is gold.	Speech is silver but silence is gold.	Spreken is zilver, zwijgen is goud.	Spreken is zilver, zwijgen is goud.
Όποιος φτύνει τον ουρανο, φτύνει τα μούτρα του.	Who spits at the sky spits in his own face.	Curses come home to roost.	Wie naar de hemel spuugt, spuugt in zijn eigen gezicht.	Wie een kuil graaft voor een ander, valt er zelf in.
Στραβος βελόνα γύρευε μέσα ’ς το αχυρωνα.	The blind man looked for a needle in the hay-loft.	To look for a needle in a bottle of hay.	Een blinde zocht een naald in de hooizolder.	Een speld in een hooiberg zoeken.
Κόρακας κοράκου μάτι δεν βγάνει.	A crow does not peck out a crow’s eye.	Hawks do not peck out hawks’ eyes.	Een kraai pikt geen kraaienoog uit.	Hond eet hond niet.
Δος του βοσκου γάλα.	Give milk to the shepherd.	To carry coals to Newcastle.	Geeft men melk aan de herder.	Uilen naar Athene dragen.
Το σίδερο πυρωμένο κολλα.	Iron when hot adheres.	Strike while the iron is hot.	IJzer hecht wanneer het heet is.	Sla het ijzer als het heet is.
Ένα χελιδόνι άνοιξι δεν φέρνει.	One swallow does not bring spring.	One swallow does not make a summer.	Één zwaluw brengt geen lente.	Één zwaluw maakt nog geen zomer.
Όπου και να πας, σπίτι σου να θυμάσαι.	Wherever you go, remember your home.	Home is where the heart is.	Waar je ook gaat, denk aan je huis.	Thuis is waar het hart is.
