ID	Συχνότητα (Frequency)	‰	CEF level	Λήμμα (Lemma)	Πολυλεκτικό σύνολο (MWE)	Μέρος του Λόγου (Part of speech)	Μετάφραση (Translation)	Σχόλια μεταφραστή (Translator's comments)			
1995	2736	0,047626797	B1	αβγό, αυγό		Ουσιαστικό					
	0	0	C2	αβέβαιος		Επίθετο					
4046	1082	0,023021277	C1	αβεβαιότητα		Ουσιαστικό					
	0	0	C2	άβολα		Επίρρημα					
	0	0	C2	άβολος		Επίθετο					
4348	978	0,020808511	C1	αγαθά		Επίρρημα					
1710	3360	0,058489049	A2	αγαθό		Ουσιαστικό					
5079	769	0,013386333	C2	αγαθός		Επίθετο					
2576	1972	0,034327502	B1	άγαλμα		Ουσιαστικό					
	0	0	C2	άγαμος		Επίθετο					
457	12769	0,222275795	A1	αγάπη		Ουσιαστικό					
4503	923	0,019638298	C1	αγαπημένος		Ουσιαστικό					
1044	5863	0,102059909	A2	αγαπητός		Επίθετο					
264	19374	0,337252036	A1	αγαπώ, αγαπάω		Ρήμα					
	0	0	C2	αγγαρεία		Ουσιαστικό					
2863	1703	0,029644896	B1	αγγείο		Ουσιαστικό					
1749	3288	0,057235712	A2	αγγελία		Ουσιαστικό					
5378	584	0,014327785	C2	αγγελικός		Επίθετο					
1617	3614	0,062910543	A2	άγγελος		Ουσιαστικό					
	0	0	C2	άγγιγμα		Ουσιαστικό					
1801	3185	0,055442745	A2	αγγίζω		Ρήμα					
1691	3424	0,059603126	A2	Αγγλία		Ουσιαστικό					
3709	1202	0,020923761	B2	Αγγλικά		Ουσιαστικό					
1385	4316	0,075130576	A2	αγγλικός		Επίθετο					
	0	0	C2	Άγγλος		Ουσιαστικό					
4607	892	0,01552745	C1	αγελάδα		Ουσιαστικό					
	0	0	C2	αγενής		Επίθετο					
4654	879	0,015301153	C1	αγιάζω		Ρήμα					
174	26458	0,460566448	A1	άγιος		Επίθετο					
2203	2379	0,041412336	B1	αγκαλιά		Ουσιαστικό					
2898	1677	0,029192302	B1	αγκαλιάζω		Ρήμα					
	0	0	C2	άγκιστρο		Ουσιαστικό					
	0	0	C2	αγκιστρώνω		Ρήμα					
1313	4553	0,09687234	A2	άγκυρα		Ουσιαστικό					
	0	0	C2	αγκώνας		Ουσιαστικό					
3104	1537	0,026755259	B2	άγνοια		Ουσιαστικό					
	0	0	C2	αγνοούμενος		Επίθετο					
3172	1495	0,026024145	B2	αγνός		Επίθετο					
1742	3303	0,057496824	A2	αγνοώ		Ρήμα					
1118	5425	0,094435444	A2	άγνωστος		Επίθετο					
5469	506	0,010765957	C2	άγονος		Επίθετο					
293	17953	0,312516042	A1	αγορά		Ουσιαστικό					
	0	0	C2	αγορά 	αγορά εργασίας	Ουσιαστικό					
671	9025	0,157102283	A1	αγοράζω		Ρήμα					
4550	912	0,015875599	C1	αγοραστής		Ουσιαστικό					
2029	2683	0,046704202	B1	αγόρι		Ουσιαστικό					
3352	1393	0,024248585	B2	άγρια		Επίρρημα					
2164	2430	0,042300116	B1	άγριος		Επίθετο					
	0	0	C2	αγροικία		Ουσιαστικό					
	0	0	C2	αγρόκτημα		Ουσιαστικό					
5684	0	0	C2	αγρός		Ουσιαστικό					
2427	2126	0,03700825	B1	αγρότης		Ουσιαστικό					
1379	4330	0,075374281	A2	αγροτικός		Επίθετο					
2159	2449	0,042630858	B1	άγχος		Ουσιαστικό					
1277	4696	0,081745409	A2	αγωγή		Ουσιαστικό					
3942	1115	0,019409312	C1	αγωγός		Ουσιαστικό					
208	23054	0,401311471	A1	αγώνας		Ουσιαστικό					
2431	2125	0,036990842	B1	αγωνία		Ουσιαστικό					
1666	3481	0,060595351	A2	αγωνίζομαι		Ρήμα					
5164	750	0,013055591	C2	αγώνισμα		Ουσιαστικό					
3169	1496	0,026041553	B2	αγωνιστής		Ουσιαστικό					
1529	3899	0,067871668	A2	αγωνιστικός		Επίθετο					
717	8442	0,146953736	A1	άδεια		Ουσιαστικό					
5571	0	0	C2	άδεια 	άδεια οδήγησης	Ουσιαστικό					
3774	1178	0,020505982	B2	αδειάζω		Ρήμα					
3971	1105	0,019235238	C1	άδειος		Ουσιαστικό					
4158	1046	0,018208198	C1	αδελφή, αδερφή		Ουσιαστικό					
	0	0	C2	αδέλφια, αδέρφια		Ουσιαστικό					
1242	4873	0,084826529	A2	αδελφός, αδερφός		Ουσιαστικό					
5151	753	0,013107814	C2	αδένας		Ουσιαστικό					
	0	0	C2	αδιάκοπα		Επίρρημα					
	0	0	C2	αδιάκοπος		Επίθετο					
	0	0	C2	αδιαμφισβήτητος		Επίθετο					
5259	667	0,014191489	C2	αδιανόητος		Επίθετο					
3463	1327	0,023099693	B2	αδιαφορία		Ουσιαστικό					
2964	1627	0,02832193	B2	αδιάφορος		Επίθετο					
4254	1012	0,017616345	C1	αδιαφορώ		Ρήμα					
3374	1378	0,023987473	B2	αδιέξοδος		Επίθετο					
4465	936	0,016293378	C1	άδικα		Επίρρημα					
5149	754	0,016042553	C2	αδικαιολόγητος		Επίθετο					
4621	887	0,015440413	C1	αδίκημα		Ουσιαστικό					
3679	1218	0,02120228	B2	αδικία		Ουσιαστικό					
4349	977	0,020787234	C1	άδικο		Ουσιαστικό					
2167	2420	0,042126041	B1	άδικος		Επίθετο					
3994	1097	0,019095978	C1	αδικώ		Ρήμα					
	0	0	C2	αδύναμα		Επίθετο, Επίρρημα					
1546	3845	0,066931665	A2	αδυναμία		Ουσιαστικό					
3397	1361	0,023691546	B2	αδύναμος		Επίθετο					
1285	4673	0,081345038	A2	αδύνατος		Επίθετο					
3407	1358	0,023639324	B2	αδυνατώ		Ρήμα					
	0	0	C2	αέναος		Επίθετο					
1186	5145	0,109468085	A2	αέρας		Ουσιαστικό					
1905	2922	0,050864584	A2	αέριο	αέριο του θερμοκηπίου	Ουσιαστικό					
2124	2513	0,053468085	B1	αέριος		Επίθετο					
2145	2483	0,043222711	B1	αεροδρόμιο		Ουσιαστικό					
5683	0	0	C2	αερολιμένας		Ουσιαστικό					
2102	2541	0,044232344	B1	αεροπλάνο		Ουσιαστικό					
3863	1142	0,019879314	B2	αεροπορία		Ουσιαστικό					
3652	1231	0,021428577	B2	αεροπορικός		Επίθετο					
2712	1831	0,03187305	B1	αεροσκάφος		Ουσιαστικό					
4266	1007	0,017529307	C1	αετός		Ουσιαστικό					
	0	0	C2	αηδιαστικός		Επίθετο					
3074	1553	0,027033778	B2	αθάνατος		Επίθετο					
	0	0	C2	αθέμιτος		Επίθετο					
4958	797	0,013873742	C2	άθεος		Επίθετο					
5670	0	0	C2	αθέτηση		Ουσιαστικό					
	0	0	C2	αθετώ		Ρήμα					
2789	1756	0,030567491	B1	άθλημα		Ουσιαστικό					
1908	2920	0,050829769	A2	αθλητής		Ουσιαστικό					
1454	4075	0,07093538	A2	αθλητικός		Επίθετο					
2329	2231	0,038836032	B1	αθλητισμός		Ουσιαστικό					
3419	1352	0,023534879	B2	άθλιος		Επίθετο					
	0	0	C2	άθλος		Ουσιαστικό					
	0	0	C2	αθόρυβα		Επίρρημα					
	0	0	C2	αθόρυβος		Επίθετο					
	0	0	C2	αθροίζω		Ρήμα					
	0	0	C2	άθροισμα		Ουσιαστικό					
2702	1838	0,031994903	B1	αθώος		Επίθετο					
	0	0	C2	Αιγύπτιος		Ουσιαστικό					
	0	0	C2	αιθέρας		Ουσιαστικό					
1206	5033	0,087611722	A2	αίθουσα		Ουσιαστικό					
	0	0	C2	αίθριος		Επίθετο					
650	9278	0,161506369	A1	αίμα		Ουσιαστικό					
5862	0	0	C2	αιματηρός		Επίθετο					
5026	783	0,013630037	C2	αιμορραγία		Ουσιαστικό					
	0	0	C2	αίνιγμα		Ουσιαστικό					
4472	935	0,016275971	C1	αίρεση		Ουσιαστικό					
3479	1322	0,02812766	B2	αίρω		Ρήμα					
866	7066	0,123001078	A1	αισθάνομαι		Ρήμα					
1649	3523	0,061326464	A2	αίσθημα		Ουσιαστικό					
	0	0	C2	αισθηματικός		Επίθετο					
1021	6060	0,105489178	A2	αίσθηση		Ουσιαστικό					
2032	2675	0,046564942	B1	αισθητική		Ουσιαστικό					
4763	845	0,0147093	C1	αισθητικός		Επίθετο					
	0	0	C2	αισθητός		Επίθετο					
5087	767	0,013351518	C2	αισιοδοξία		Ουσιαστικό					
4577	902	0,015701525	C1	αισιόδοξος		Επίθετο					
1668	3477	0,060525722	A2	αίτημα		Ουσιαστικό					
1039	5906	0,10280843	A2	αίτηση		Ουσιαστικό					
874	6977	0,121451814	A1	αιτία		Ουσιαστικό					
2610	1942	0,033805278	B1	αίτιο		Ουσιαστικό					
5648	0	0	C2	αιτιολόγηση		Ουσιαστικό					
5156	751	0,015978723	C2	αιτιολογία		Ουσιαστικό					
4814	833	0,017723404	C1	αιτιολογώ		Ρήμα					
1363	4378	0,093148936	A2	αίτιος		Επίθετο					
	0	0	C2	αιτούμαι		Ρήμα					
2973	1618	0,034425532	B2	αιτώ		Ρήμα					
	0	0	C2	αιτών		Ουσιαστικό					
5234	691	0,014702128	C2	αιφνιδιάζω		Ρήμα					
	0	0	C2	αιφνιδιαστικά		Επίρρημα					
5737	0	0	C2	αιχμαλωτίζω		Ρήμα					
4765	844	0,014691892	C1	αιχμάλωτος		Επίθετο					
4676	873	0,015196708	C1	αιχμή		Ουσιαστικό					
348	16086	0,280016323	A1	αιώνας		Ουσιαστικό					
1604	3648	0,063502396	A2	αιώνιος		Επίθετο					
	0	0	C2	αιωνιότητα		Ουσιαστικό					
5476	0	0	C2	αιωνίως		Επίρρημα					
	0	0	C2	αιωρούμαι		Ρήμα					
2209	2366	0,041186039	B1	ακαδημαϊκός		Επίθετο					
2467	2073	0,036085654	B1	ακαδημία		Ουσιαστικό					
4301	995	0,021170213	C1	ακαθάριστος		Επίθετο					
5954	0	0	C2	ακαθαρσία		Ουσιαστικό					
	0	0	C2	άκαμπτος		Επίθετο					
4839	825	0,01436115	C1	ακατάλληλος		Επίθετο					
	0	0	C2	ακατανόητος		Επίθετο					
5977	0	0	C2	ακαταστασία		Ουσιαστικό					
	0	0	C2	ακατάστατος		Επίθετο					
	0	0	C2	ακατέργαστος		Επίθετο					
4853	822	0,014308928	C1	ακέραιος		Επίθετο					
5236	690	0,014680851	C2	ακεραιότητα		Ουσιαστικό					
3433	1342	0,028553191	B2	ακίνητα		Επίρρημα					
	0	0	C2	ακίνητο		Ουσιαστικό					
1391	4300	0,074852057	A2	ακίνητος		Επίθετο					
4035	1087	0,018921904	C1	ακμή		Ουσιαστικό					
	0	0	C2	ακοή		Ουσιαστικό					
3331	1401	0,024387845	B2	ακολουθία		Ουσιαστικό					
1370	4343	0,075600578	A2	ακόλουθος		Επίθετο					
283	18324	0,318974208	A1	ακολουθώ		Ρήμα					
