Greek (raw TSV),Normalized variants (keys),English from TSV
μηδέν,μηδεν,Uploaded
ένας/μία/ένα,ενα; ενας; μια,Uploaded
δύο,δυο,Uploaded
πέντε,πεντε,Uploaded
έξι,εξι,Uploaded
επτά / εφτά,επτα; εφτα,Uploaded
οκτώ / οχτώ,οκτω; οχτω,Uploaded
εννέα / εννιά,εννεα; εννια,Uploaded
δέκα,δεκα,Uploaded
δώδεκα,δωδεκα,Uploaded
εβδομήντα,εβδομηντα,Uploaded
εκατό(ν),εκατο; εκατον,Uploaded
Το μάθημα,μαθημα,Uploaded
Ποιος / ποια / ποιο,ποια; ποιο; ποιος,Uploaded
Είμαι,ειμαι,Uploaded
Πώς σε λένε;,πως σε λενε,Uploaded
Ξέρω,ξερω,Uploaded
Καταλαβαίνω,καταλαβαινω,Uploaded
Τα αγγλικά,αγγλικα,Uploaded
Τα ολλανδικά,ολλανδικα,Uploaded
Τα γαλλικά,γαλλικα,Uploaded
Τα γερμανικά,γερμανικα,Uploaded
Τα ισπανικά,ισπανικα,Uploaded
Τα ιταλικά,ιταλικα,Uploaded
Πώς;,πως,Uploaded
Πού;,που,Uploaded
Μένω,μενω,Uploaded
Από πού είσαι;,απο που εισαι,Uploaded
Το Βέλγιο,βελγιο,Uploaded
Η Ελλάδα,ελλαδα,Uploaded
Η Ισπανία,ισπανια,Uploaded
Η Ιταλία,ιταλια,Uploaded
Η Αγγλία,αγγλια,Uploaded
Η Γαλλία,γαλλια,Uploaded
Η Γερμανία,γερμανια,Uploaded
Η Ολλανδία,ολλανδια,Uploaded
Ο Καναδάς,καναδας,Uploaded
Περιμένω (τον Βαγγέλη/ την Μαρία/ το κορίτσι),κοριτσι; περιμενω (τον βαγγελη; την μαρια,Uploaded
Θέλω,θελω,Uploaded
Τι Θέλεις;,τι θελεις,Uploaded
Γεια σου,γεια σου,Uploaded
Το βιβλίο,βιβλιο,Uploaded
Το κρασί,κρασι,Uploaded
Το τσάι,τσαι,Uploaded
Το σπίτι,σπιτι,Uploaded
Λέω,λεω,Uploaded
Έχω,εχω,Uploaded
Δουλεύω,δουλευω,Uploaded
Σπουδάζω,σπουδαζω,Uploaded
Καλημέρα,καλημερα,Uploaded
Καλησπέρα,καλησπερα,Uploaded
Καληνύχτα,καληνυχτα,Uploaded
Καλό βράδυ,καλο βραδυ,Uploaded
Καλή συνέχεια,καλη συνεχεια,Uploaded
Καλή εβδομάδα,καλη εβδομαδα,Uploaded
Καλό μήνα,καλο μηνα,Uploaded
Χαίρετε,χαιρετε,Uploaded
Καλά,καλα,Uploaded
Πολύ Καλά,πολυ καλα,Uploaded
Θαύμα,θαυμα,Uploaded
Μια χαρά,μια χαρα,Uploaded
έτσι κι έτσι,ετσι κι ετσι,Uploaded
Άσχημα,ασχημα,Uploaded
Πολύ άσχημα,πολυ ασχημα,Uploaded
Χάλια,χαλια,Uploaded
Τι κάνεις;,τι κανεις,Uploaded
Ευχαριστώ,ευχαριστω,Uploaded
Το ρολόι,ρολοι,Uploaded
Η ώρα,ωρα,Uploaded
Το λεπτό,λεπτο,Uploaded
Το δευτερόλεπτο,δευτερολεπτο,Uploaded
Το τέταρτο,τεταρτο,Uploaded
Και / κι,και; κι,Uploaded
Είναι δύο παρά δέκα,ειναι δυο παρα δεκα,Uploaded
Διαβάζω,διαβαζω,Uploaded
Εδώ,εδω,Uploaded
Το παιδί,παιδι,Uploaded
Το τηλέφωνο,τηλεφωνο,Uploaded
Το νερό,νερο,Uploaded
Η θάλασσα,θαλασσα,Uploaded
Το πρόβλημα,προβλημα,Uploaded
Ο φοιτητής / Η φοιτήτρια,φοιτητης; φοιτητρια,Uploaded
Η σοκολάτα,σοκολατα,Uploaded
Η μπύρα / μπίρα,μπιρα; μπυρα,Uploaded
Το σουβλάκι,σουβλακι,Uploaded
Το γιαούρτι,γιαουρτι,Uploaded
Το αεροδρόμιο,αεροδρομιο,Uploaded
