Greek (raw from TSV),Greek (normalized key),English (from TSV)
ένας/μία/ένα,ενας/μια/ενα,Uploaded
τρεις/τρεις/τρία,τρεις/τρεις/τρια,Uploaded
τέσσερις/τέσσερις/τέσσερα,τεσσερις/τεσσερις/τεσσερα,Uploaded
επτά / εφτά,επτα / εφτα,Uploaded
οκτώ / οχτώ,οκτω / οχτω,Uploaded
εννέα / εννιά,εννεα / εννια,Uploaded
έντεκα,εντεκα,Uploaded
δώδεκα,δωδεκα,Uploaded
είκοσι,εικοσι,Uploaded
τριάντα,τριαντα,Uploaded
σαράντα,σαραντα,Uploaded
πενήντα,πενηντα,Uploaded
εξήντα,εξηντα,Uploaded
ογδόντα,ογδοντα,Uploaded
ενενήντα,ενενηντα,Uploaded
εκατό(ν),εκατο(ν),Uploaded
διακόσια,διακοσια,Uploaded
τριακόσια,τριακοσια,Uploaded
τετρακόσια,τετρακοσια,Uploaded
πεντακόσια,πεντακοσια,Uploaded
εξακόσια,εξακοσια,Uploaded
επτακόσια,επτακοσια,Uploaded
οκτακόσια,οκτακοσια,Uploaded
εννιακόσια,εννιακοσια,Uploaded
χίλια,χιλια,Uploaded
δύο χιλιάδες,δυο χιλιαδες,Uploaded
τρεις χιλιάδες,τρεις χιλιαδες,Uploaded
τέσσερις χιλιάδες,τεσσερις χιλιαδες,Uploaded
πέντε χιλιάδες,πεντε χιλιαδες,Uploaded
έξι χιλιάδες,εξι χιλιαδες,Uploaded
επτά χιλιάδες,επτα χιλιαδες,Uploaded
οκτώ χιλιάδες,οκτω χιλιαδες,Uploaded
εννέα χιλιάδες,εννεα χιλιαδες,Uploaded
δέκα χιλιάδες,δεκα χιλιαδες,Uploaded
Ποιος / ποια / ποιο,ποιος / ποια / ποιο,Uploaded
Με λένε Σάββα,με λενε σαββα,Uploaded
Είμαι ο Σάββας,ειμαι ο σαββας,Uploaded
Τα ελληνικά,ελληνικα,Uploaded
Από,απο,Uploaded
Η Αμερική,αμερικη,Uploaded
Περιμένω (τον Βαγγέλη/ την Μαρία/ το κορίτσι),περιμενω (τον βαγγελη/ την μαρια/ το κοριτσι),Uploaded
Γεια σου,γεια σου,Uploaded
Πάω,παω,Uploaded
Καλό απόγευμα,καλο απογευμα,Uploaded
"Γεια σας, Δημήτρη και Δάφνη","γεια σας, δημητρη και δαφνη",Uploaded
έτσι κι έτσι,ετσι κι ετσι,Uploaded
Μισός/μισή/μισό,μισος/μιση/μισο,Uploaded
Και / κι,και / κι,Uploaded
Τα χιλιόμετρα,χιλιομετρα,Uploaded
Ο φοιτητής / Η φοιτήτρια,φοιτητης / η φοιτητρια,Uploaded
Η σοκολάτα,σοκολατα,Uploaded
Το παγωτό,παγωτο,Uploaded
Η μπύρα / μπίρα,μπυρα / μπιρα,Uploaded
Είμαι στο σπίτι με την Τζούλια.,ειμαι στο σπιτι με την τζουλια,Uploaded
Ο μπακλαβάς,μπακλαβας,Uploaded
Ο χυμός πορτοκάλι,χυμος πορτοκαλι,Uploaded
Είναι τρεις η ώρα,ειναι τρεις η ωρα,Uploaded
Ο καθηγητής,καθηγητης,Uploaded
Η καθηγήτρια,καθηγητρια,Uploaded
Τι δουλειά κάνεις;,τι δουλεια κανεις,Uploaded
Το σινεμά,σινεμα,Uploaded
Ο / η γιατρός,/ η γιατρος,Uploaded
Πηγαίνω,πηγαινω,Uploaded
Παντρεμένος / παντρεμένη,παντρεμενος / παντρεμενη,Uploaded
Ελεύθερος / ελεύθερη,ελευθερος / ελευθερη,Uploaded
Χωρισμένος / χωρισμένη,χωρισμενος / χωρισμενη,Uploaded
Χήρος / χήρα,χηρος / χηρα,Uploaded
Η φίλη,φιλη,Uploaded
Ο πατέρας,πατερας,Uploaded
Η μητέρα,μητερα,Uploaded
Ο αδερφός / αδελφός,αδερφος / αδελφος,Uploaded
Η αδερφή / αδελφή,αδερφη / αδελφη,Uploaded
Αλλά,αλλα,Uploaded
Η γιαγιά,γιαγια,Uploaded
Έτοιμος / έτοιμη / έτοιμο,ετοιμος / ετοιμη / ετοιμο,Uploaded
Το ταξί,ταξι,Uploaded
Το μαγαζί,μαγαζι,Uploaded
Το μπαλκόνι,μπαλκονι,Uploaded
Μου αρέσει,μου αρεσει,Uploaded
Όμορφος / Όμορφη / Όμορφο,ομορφος / ομορφη / ομορφο,Uploaded
Άσκημος / άσκημη / άσκημο Άσχημος / άσχημη / άσχημο,ασκημος / ασκημη / ασκημο ασχημος / ασχημη / ασχημο,Uploaded
Μεγάλος / μεγάλη / μεγάλο,μεγαλος / μεγαλη / μεγαλο,Uploaded
Μικρός / μικρή / μικρό,μικρος / μικρη / μικρο,Uploaded
Καλός / καλή / καλό,καλος / καλη / καλο,Uploaded
Πόσο καιρό;,ποσο καιρο,Uploaded
Πρώτο,πρωτο,Uploaded
Ξένος / ξένη,ξενος / ξενη,Uploaded
Βεβαίως,βεβαιως,Uploaded
Η σαλάτα,σαλατα,Uploaded
Δεν τίποτα,δεν τιποτα,Uploaded
Ορίστε,οριστε,Uploaded
Ο λογαριασμός,λογαριασμος,Uploaded
Η μαστίχα,μαστιχα,Uploaded
Κουτί σπίρτα,κουτι σπιρτα,Uploaded
Το προφυλακτικό,προφυλακτικο,Uploaded
Τα χαρτομάντηλα,χαρτομαντηλα,Uploaded
Ανοιχτός,ανοιχτος,Uploaded
Κλειστός,κλειστος,Uploaded
Δεν νομίζω,δεν νομιζω,Uploaded
Αντίο,αντιο,Uploaded
Τίποτα άλλο;,τιποτα αλλο,Uploaded
Να 'στε καλά,να 'στε καλα,Uploaded
Μάλιστα,μαλιστα,Uploaded
Το κρουασάν,κρουασαν,Uploaded
Το σάντουιτς,σαντουιτς,Uploaded
Το μαύρο ψωμί,μαυρο ψωμι,Uploaded
Το χωριάτικο ψωμί,χωριατικο ψωμι,Uploaded
Η τηλεόραση,τηλεοραση,Uploaded
Η τάξη,ταξη,Uploaded
Λογαριασμό παρακαλώ,λογαριασμο παρακαλω,Uploaded
Ο φούρνος,φουρνος,Uploaded
Το μουσείο,μουσειο,Uploaded
Το καφενείο,καφενειο,Uploaded
Το φαρμακείο,φαρμακειο,Uploaded
Το τραπέζι,τραπεζι,Uploaded
Η καρέκλα,καρεκλα,Uploaded
Το διαβατήριο,διαβατηριο,Uploaded
Η σελίδα,σελιδα,Uploaded
Η κόκα-κόλα,κοκα-κολα,Uploaded
Το κοτόπουλο,κοτοπουλο,Uploaded
Η πίτσα,πιτσα,Uploaded
Η πάστα,παστα,Uploaded
Η γαλοπούλα,γαλοπουλα,Uploaded
Η πλατεία,πλατεια,Uploaded
Το δέμα,δεμα,Uploaded
Η μέρα,μερα,Uploaded
Το δωμάτιο,δωματιο,Uploaded
Μου αρέσουν τα βιβλία,μου αρεσουν τα βιβλια,Uploaded
Ο κινηματογράφος,κινηματογραφος,Uploaded
Με,με,Uploaded
Η στάση,σταση,Uploaded
Το στάδιο,σταδιο,Uploaded
Ο σκύλος,σκυλος,Uploaded
Το μπισκότο,μπισκοτο,Uploaded
Το τηλέφωνό μου είναι ...,τηλεφωνο μου ειναι,Uploaded
Ακριβός / ακριβή / ακριβό,ακριβος / ακριβη / ακριβο,Uploaded
Η πόλη,πολη,Uploaded
Μαθαίνω ελληνικά,μαθαινω ελληνικα,Uploaded
Είναι ανοιχτή η τράπεζα;,ειναι ανοιχτη η τραπεζα,Uploaded
Ποιος πληρώνει τον λογαριασμό;,ποιος πληρωνει τον λογαριασμο,Uploaded
Είναι το ταξί ελεύθερο;,ειναι το ταξι ελευθερο,Uploaded
Η ασπιρίνη,ασπιρινη,Uploaded
Αυτός / αυτή / αυτό,αυτος / αυτη / αυτο,Uploaded
Αυτοί / αυτές / αυτά,αυτοι / αυτες / αυτα,Uploaded
Το κεράσι,κερασι,Uploaded
Τι φοράει;,τι φοραει,Uploaded
Το μαντήλι,μαντηλι,Uploaded
Το γάντι,γαντι,Uploaded
Το ζευγάρι γάντια,ζευγαρι γαντια,Uploaded
Η μπότα / μπότες,μποτα / μποτες,Uploaded
Η ζακέτα,ζακετα,Uploaded
Ένα ζευγάρι παντόφλες,ενα ζευγαρι παντοφλες,Uploaded
Ένα ζευγάρι πέδιλα,ενα ζευγαρι πεδιλα,Uploaded
Ο σκούφος,σκουφος,Uploaded
Τρίκλινο,τρικλινο,Uploaded
Έχει θέα στη θάλασσα;,εχει θεα στη θαλασσα,Uploaded
Πρώτος / πρώτη / πρώτο,πρωτος / πρωτη / πρωτο,Uploaded
Δεύτερος / δεύτερη / δεύτερο,δευτερος / δευτερη / δευτερο,Uploaded
Τρίτος / τρίτη / τρίτο,τριτος / τριτη / τριτο,Uploaded
Τέταρτος / τέταρτη / τέταρτο,τεταρτος / τεταρτη / τεταρτο,Uploaded
Πέμπτος / πέμπτη / πέμπτο,πεμπτος / πεμπτη / πεμπτο,Uploaded
Έκτος / έκτη / έκτο,εκτος / εκτη / εκτο,Uploaded
Έβδομος / έβδομη / έβδομο,εβδομος / εβδομη / εβδομο,Uploaded
Κίτρινος /κίτρινη / κίτρινο,κιτρινος /κιτρινη / κιτρινο,Uploaded
Κόκκινος / κόκκινη / κόκκινο,κοκκινος / κοκκινη / κοκκινο,Uploaded
Πράσινος / πράσινη / πράσινο,πρασινος / πρασινη / πρασινο,Uploaded
Γαλάζιο / γαλάζια / γαλάζιο,γαλαζιο / γαλαζια / γαλαζιο,Uploaded
Άσπρος / άσπρη / άσπρο,ασπρος / ασπρη / ασπρο,Uploaded
Μαύρος / μαύρη / μαύρο,μαυρος / μαυρη / μαυρο,Uploaded
Καφέ,καφε,Uploaded
Γκρι,γκρι,Uploaded
Σε καλή τιμή,σε καλη τιμη,Uploaded
Το νούμερο,νουμερο,Uploaded
Νέος / νέα / νέο,νεος / νεα / νεο,Uploaded
Αστείος / αστεία / αστείο,αστειος / αστεια / αστειο,Uploaded
Θα (θα κάνω / θα είμαι),θα (θα κανω / θα ειμαι),Uploaded
Μαγειρεύω = κάνω φαγητό,μαγειρευω = κανω φαγητο,Uploaded
Κάνω βόλτα,κανω βολτα,Uploaded
Σπορ,σπορ,Uploaded
Ωραίος / ωραία / ωραίο,ωραιος / ωραια / ωραιο,Uploaded
Ο / η ηθοποιός,/ η ηθοποιος,Uploaded
Τον / την βλέπεις;,τον / την βλεπεις,Uploaded
Ζεστός / ζεστή / ζεστό,ζεστος / ζεστη / ζεστο,Uploaded
Τα χρόνια (οι χρόνοι - only for verb conjugations),χρονια (οι χρονοι,Uploaded
Στο ισόγειο,στο ισογειο,Uploaded
Παίζω (κιθάρα / πιάνο / τάωλι / θέατρο / χαρτιά),παιζω (κιθαρα / πιανο / ταωλι / θεατρο / χαρτια),Uploaded
