Savvas; (ο) Σάββας
Grieks (de taal); τα ελληνικά
Amerika; (η) Αμερική
Goede (na)middag!; Καλό απόγευμα!
kilometer; (το) χιλιόμετρο - (τα) χιλιόμετρα
; Είμαι στο σπίτι με την Τζούλια.
; (ο) μπακλαβάς
; (ο) χυμός πορτοκάλι
; Τι δουλειά κάνεις;
; πηγαίνω
; (το) μαγαζί,
; (το) μπαλκόνι
; Μου αρέσει + nom. sing.
; όμορφοςος -η -ο
; άσχημος -η -ο / άσκημος -η -ο
; Πόσο καιρό;
; (ο) λογαριασμός
; (η) μαστίχα
; κουτί σπίρτα
; (το) προφυλακτικό
; (τα) χαρτομάντηλα
; Αντίο!
; τίποτα άλλο
; (η) τάξη
; (ο) φούρνος
; (το) μουσείο
; (το) καφενείο
; (το) φαρμακείο
; (το) τραπέζι
; (η) καρέκλα
; (το) διαβατήριο
; (η) σελίδα
; (η) κόκα-κόλα
; (η) πίτσα
; (η) γαλοπούλα
; (το) δέμα
; (το) δωμάτιο
; Μου αρέσουν τα βιβλία.
; (η) στάση
; (το) στάδιο
; (ο) σκύλος
; (το) μπισκότο
; Το τηλέφωνό μου είναι …
; (η) πόλη
; Μαθαίνω ελληνικά.
; Ποιος πληρώνει τον λογαριασμό;
; Είναι το ταξί ελεύθερο;
; (η) ασπιρίνη
; (το) κεράσι
; Τι φοράει;
; (το) μαντήλι
; (το) γάντι
; (το) ζευγάρι γάντια
; (η) ζακέτα
; ένα ζευγάρι παντόφλες
; ένα ζευγάρι πέδιλα
; (ο) σκούφος
; τρίκλινο
; Έχει θέα στη θάλασσα;
; σε καλή τιμή
; (το) νούμερο
; σπορ
; στο ισόγειο
; νόστιμος -η -ο
; από … ως / μέχρι
; από τις 8 ως τις 10 / 8 με 10
; ευθεία κάτω
; (το) σούπερ-μάρκετ
; (το) θέατρο
; Πού κάνει στάση το λεωφορείο;
; (το) αγόρι
; γρήγορος -η -ο
; φρέσκος -η -ο
; βρόμικος  -η -ο
; λευκός ός -ή/ά -ό; certain standard expressions using one but not the other: λευκά είδη (linen), Λευκός Οίκος (the White House) άσπρο ψωμί; άσπρα μαλλιά (white hair, but is actually one's old age); λευκά μαλλιά (hair colour)",
; (η) δωροκάρτα
; υπάρχω
; (το) πάρκιγκ
; (το) πάρκο
; (η) παντόφλα
; (το) πέδιλο
; Έχω μάθημα σε λίγο.
; Πηγαίνετε ευθεία στην οδό Νίκος.
; Βλέπετε το φαρμακείο δεξιά.
; Εκεί στρίβετε αριστερά.
; Πηγαίνετε ευθεία κάτω την οδό Αγίας Σοφίας.
; στην λεωφόρο Ειρήνης
; Και απέναντι είναι η Πλατεία.
; Μετά από ένα τετράγωνο βλέπετε μια εκκλησία.
; Δύο τετράγωνα παρακάτω.
; Υπάρχει κανένας φούρνος εδώ κοντά;
; (το) ταξίδι
am; πμ (=  πριν το μεσημέρι)
pm; μμ (= μετά το μεσημέρι)
; Είναι μία το μεσημέρι.
; (το) βιβλίο του Πέτρου
; (ο) Αλέξανδρος
; του Αλέξανδρου
; (ο) Βαγγέλης
; του Βαγγέλη
; (ο) Σάββας
; του Σάββα
; Είμαι το κορίτσι του Σάββα.
; (η) Μαρία
; της Μαρίας
; (η) Νεφέλη
; της Νεφέλης
; Είμαι ο φίλος της Νεφέλης.
; φταίει το τρένο
; συμφωνώ
; Με συγχωρείτε!
; Εδώ γύρω.
; (τα) πόδια
; (η) καρτέλα
; πολύ γνωστή μάρκα
; πάω για ύπνο
; (η) φορά
; μια φορά
; πάω για ψώνια
; (τα) ψώνια
; κάνω σπορ
; Πώς περνάς την ημέρα σου;
; Αλήθεια!
; Ακόμα
; (η) πατάτα
; αρνάκι φρικασέ
; ούτε … ούτε (π.χ. Δεν περιμένει, ούτε την Αλίκη, ούτε τον Κώστα.)
; Ο Νίκος είναι πολύ καλός φίλος μου.
; Μένει μόνος του.
; κάνω ένα τηλεφώνημα
; (το) σαλόνι
; (το) φλυτζάνι
; (το) πιατάκι
; (το) κουταλάκι
; (τα) κολοκυθάκια
; (τα) καλαμάρια
; (η) μακαρονάδα
; παραγγέλνω
; (τα) λαζάνια
; (ο) ίδιος
; (το) τραμ
; Κάθε πότε περνάει το μετρό;
; πάω με το μετρό
; Μήπως έχετε (εισιτήρια) και για το μετρό;
; Ένα εισιτήριο με επιστροφή.
; Το αεροπλάνο πόση ώρα κάνει;
; Μισό λεπτό…
; Δεν έχει τρένο από Αθήνα για Θεσσαλονίκη.
; Το τρένο ξεκινάει από τη Θεσσαλονίκη στις 8 το βράδυ.
; μία ώρα περίπου
; κοστίζω
; (το) μπουκάλι
; (η) αγγελία
; το μπουκάλι κρασί
; Δεν υπάρχει κανείς.
; τρελή
; (τα) μακαρόνια
; (τα) ζυμαρικά
; Και τι ώρα φτάνει;
; (το) απλό εισιτήριο
; (το) εισιτήριο τουριστική θέση
; (το) εισιτήριο πρώτη θέση
; πιο φτηνό
; Πόσα θέλετε;
; Τι καιρό κάνει; Τι καιρό έχει;
; Ποια εποχή σου αρέσει;
; Οι μέρες είναι πιο μεγάλες.
; (ο) αέρας
; (ο) ήλιος
; (η) συννεφιά
; Έχει ψύχρα.
; Δε συμφωνώ!
; Πότε έχεις τα γενέθλιά σου;
; Έχω τα γενέθλιά μου το χειμώνα τον Ιανουάριο.
; (ο) γάμος
; άλλη μια φορά
; (το) πρόγραμμα
; πετάω
; κουνάω
; (η) ζωή
; Αμέ!
; Δεν το πιστεύω!
; (το) γυμναστήριο
; κανονίζω
; Πόσο από το καθένα;
; Πάρε!
; Ωραία ιδέα!
; Εδώ και δύο χρόνια.
; Κανονίζουμε τίποτα;
; Τι θα ήθελες;
; (ο) χορός
; πρώτα (π.χ. Πρώτα θα πάω στο φούρνο.)
; (ο) ναός
; έχει φεγγάρι
; (το) μοναστήρι
; (η) βάρκα
; Απλός / απλή / απλό
; (η) επιστροφή
; (η) θέση
; παώ διακοπές
; μαζί
; (η) επανάληψη
; μερικός -ή -ό
; ετοιμάζω
; (το) ποτό
; η αρχή
; (ο) γονέας， (ο) γονιός
; (ο) κήπος
; Πλένω τα πιάτα.
; αρχίζω δουλειά
; σχολάω από τη δουλειά
; όλοι μας
; ξεχνώ
; ξεκουράζομαι
; εργάζομαι
; εργάζομαι ως βοηθός
; (το) κιλό
; λέω ένα τραγούδι
; (η) αγορά
; πάω στην αγορά
; (δεν) θα τον δω
; (η) ψησταριά
; Έλα μαζί μου!
; επικίνδυνος -η -ο
; ένα γραμμάριο
; Κρίμα που δεν ήμουν έκει.
; για παράδειγμα
; ονομάζομαι
; Δεν βάφομαι ποτέ το πρωί.
; Συνήθως κοιμάμαι νωρίς.
; Μη λες τίποτα.
