nr;datum;Nederlands;Grieks;woordsoort;nota;thema
;;;(ο) Σάββας;;;
;;;(το) χιλιόμετρο - (τα) χιλιόμετρα;;;
;;;Μου αρέσει + nom. sing.;;;
;;;όμορφοςος -η -ο;;;
;;;άσχημος -η -ο / άσκημος -η -ο;;;
;;;νόστιμος -η -ο;;;
;;;γρήγορος -η -ο;;;
;;;φρέσκος -η -ο;;;
;;;βρόμικος  -η -ο;;;
;;;στην λεωφόρο Ειρήνης;;;
;;;(ο) Αλέξανδρος;;;
;;;του Αλέξανδρου;;;
;;;(ο) Βαγγέλης;;;
;;;του Βαγγέλη;;;
;;;(ο) Σάββας;;;
;;;του Σάββα;;;
;;;(η) Μαρία;;;
;;;της Μαρίας;;;
;;;(η) Νεφέλη;;;
;;;της Νεφέλης;;;
;;;ούτε … ούτε (π.χ. Δεν περιμένει, ούτε την Αλίκη, ούτε τον Κώστα.);;;
;;;μερικός -ή -ό;;;
;;;(ο) γονέας， (ο) γονιός;;;
;;;επικίνδυνος -η -ο;;;
;;;Δεν βάφομαι ποτέ το πρωί.;;;
;;;Συνήθως κοιμάμαι νωρίς.;;;
;;;Μη λες τίποτα.;;;
;;;Μη λες ψέματα ποτέ. Μη λες ποτέ ψέματα.;;;
;;;(το) πράγμα – (τα) πράγματα;;;
;;;(η) εξέταση – (οι) εξετάσεις;;;
;;;Κατά τις 09:00.;;;
;;;Γύρω στις 09:00;;;
;;;(η) ρίγα – (οι) ρίγες;;;
;;;πρέπει να … (π.χ. δουλέψω);;;
;;;θέλω να … (π.χ. φάω);;;
0001;;begroetingen;(οι) χαιρετισμοί;znw.;;converseren
0002;;Welkom!， Gij zijt welkom.;Καλώς ορίσατε!;uitdr.;;converseren, uitdrukkingen
0003;;Goedemorgen!;Καλημέρα!;uitdr.;;converseren, uitdrukkingen
0004;;Goedeavond!;Καλησπέρα!;uitdr.;;converseren, uitdrukkingen
0005;;Welterusten!;Καληνύχτα!;uitdr.;;converseren, uitdrukkingen
;;;Καλό απόγευμα!;;;
0006;;Goedeavond!;Καλό βράδυ!;uitdr.;;converseren, uitdrukkingen
0007;;Succes!;Καλή συνέχεια!;uitdr.;;converseren, uitdrukkingen
0008;2025-04-22;Goede maand!;Καλό μήνα!;uitdr.;;converseren, uitdrukkingen
0009;;Fijne week;Καλή εβδομάδα!;uitdr.;;converseren, uitdrukkingen
0010;;Gegroet!;Χαίρετε!;uitdr.;formeel;converseren, uitdrukkingen
0011;;Hoi!， Hallo!;Γεια!;uitdr.;;converseren, uitdrukkingen
0012;;Hallo!;Γεια σου! (ev.)， Γεια σας! (mv., beleefdheidsvorm);uitdr.;;converseren, uitdrukkingen
0013;;Santé!;Γεια μας!;uitdr.;;converseren, uitdrukkingen
0014;;Op uw gezondheid!， Proost!;Στην υγειά σας!;uitdr.;;converseren, uitdrukkingen
0015;2025-05-06;Op onze gezondheid!， Proost!;(Στην υ)γεία μας!;uitdr.;;converseren, uitdrukkingen
0016;;Gezondheidjes!;Γείτσες!;uitdr.;wanneer iemand niest;converseren, uitdrukkingen
0017;;Hoe maak je het?;Τι κάνεις;;zin;vraagzin;converseren
0018;;Hoe maakt u het?;Τι κάνετε;;zin;vraagzin;converseren
0019;;Hoe is het?;Πώς είσαι;;zin;vraagzin;converseren
0020;;Hoe gaat het (met je)?;Πώς (τα) πας;;zin;vraagzin;converseren
0021;;Prima!;Μια χαρά!;uitdr.;;converseren, uitdrukkingen
0022;;Fantastisch!;Θαύμα!;uitdr.;;converseren, uitdrukkingen
0023;;Heel goed!;Πολύ καλά!;uitdr.;;converseren, uitdrukkingen
0024;;çava’kes， redelijk;καλούτσικα;bijw.;diminutief;converseren
0025;;Zus en zo :/;Έτσι κι έτσι :/;uitdr.;;converseren, uitdrukkingen
0026;;Afschuwelijk!;Χάλια!;uitdr.;;emoties, behoeftes
0027;;Heel slecht!;Πολύ άσχημα!;uitdr.;;emoties, behoeftes
0028;;En jij?;Κι εσύ;;zin;vraagzin;converseren
0029;2025-03-25;Gefeliciteerd!， Nog vele jaren!;Χρόνια πολλά!;uitdr.;;converseren, uitdrukkingen
0030;;Leve lang!;Να τα εκατοστίσεις!;uitdr.;;converseren, uitdrukkingen
;;;(το) ταξίδι;;;
0031;2025-02-18;Hier (heb je) … !;Να + nom. !， Ορίστε + nom. !;zin;cfr Fr. ‘Voici (…)!’;converseren, uitdrukkingen
0032;;¹alsjeblieft ²graag gedaan;παρακαλώ;uitdr.;cfr Fr. ‘Je vous enprie.’;converseren, uitdrukkingen
0033;;Pronto!;Εμπρός!;uitdr.;opnemen aan de telefoon;converseren, uitdrukkingen
0034;;Spreekt!， Zeg maar!;Λέγετε!;uitdr.;;converseren, uitdrukkingen
0035;;alfabet;(το) αλφάβητο;znw.;;grammatica
0036;;namen;τα όνοματα;znw.;;grammatica
0037;;Wie ben je?;Ποιος/α είσαι;;zin;/pjos íesè/;converseren
0038;;Wat is je naam?;Πώς σε λένε;;zin;vraagzin;converseren
0039;;Ik ben Jan.;Είμαι ο Γιάννης.;zin;;converseren
0040;;Mijn naam is Jan.;Με λένε Γιάννη.;zin;;converseren
0041;;Mijn naam is Jan.;Λέγομαι Γιάννης.;zin;;converseren
0042;;Achilles;ο Αχιλλέας;eigennaam;;namen, cultuur
0043;;Michaël;ο Μιχάλης;eigennaam;;namen, cultuur
0044;;Anastasia;η Αναστασία;eigennaam;;namen, cultuur
0045;;Andreas;ο Αντρέας;eigennaam;;namen, cultuur
0046;;Asteria;η Αστερία;eigennaam;;namen, cultuur
0047;;Calliope;η Καλλιόπη;eigennaam;;namen, cultuur
0048;;Christine;η Χριστίνα;eigennaam;;namen, cultuur
0049;;Daphne;η Δάφνη;eigennaam;;namen, cultuur
0050;;Dimitris;ο Δημήτρης;eigennaam;;namen, cultuur
0051;;George;ο Γιώργος;eigennaam;;namen, cultuur
0052;;Helena;η Ελένη;eigennaam;;namen, cultuur
0053;;Hermelien;η Ερμιόνη;eigennaam;;namen, cultuur
0054;;Iliana;η Ηλιάνα;eigennaam;;namen, cultuur
0055;;Ilias;ο Ηλίας;eigennaam;;namen, cultuur
0056;;Iphigeneia;η Ιφιγένεια;eigennaam;;namen, cultuur
0057;;Kostas;ο Κώστας;eigennaam;;namen, cultuur
0058;;Kyriaki;η Κυριακή;eigennaam;;namen, cultuur
0059;;Lucas;ο Λούκας;eigennaam;;namen, cultuur
0060;;Margaret;η Μάργκαρετ;eigennaam;;namen, cultuur
0061;;Maria;η Μαρία;eigennaam;;namen, cultuur
0062;;Mary;η Μαίρη;eigennaam;/i Mérri/;namen, cultuur
0063;;Matina;η Ματίνα;eigennaam;;namen, cultuur
0064;;Moscha;η Μόσχα;plaatsnaam;;namen, cultuur
0065;;Nikos;ο Νίκος;eigennaam;;namen, cultuur
0066;;Penelope;η Πηνελόπη;eigennaam;;namen, cultuur
0067;;Petrus;ο Πέτρος;eigennaam;;namen, cultuur
0068;;Phoebe;η Φοίβη;eigennaam;;namen, cultuur
0069;;Sophia;η Σοφία;eigennaam;;namen, cultuur
0070;;Theodoor;ο Θόδωρος;eigennaam;;namen, cultuur
0071;;kind;(το) παιδί - (τα) παιδιά;znw.;;relaties, converseren
0072;;geest;(το) πνεύμα;znw.;;filosofie, cultuur
0073;;koffie;(ο) καφές - (οι) καφέδες;znw.;;voedsel, dingen
0074;;(café) frappé;(ο) φραπές;znw.;;voedsel, dingen
;;;(ο) μπακλαβάς;;;
0075;2025-03-25;gehaktbal， frikadel;(ο) κεφτές - (οι) κεφτέδες;znw.;;voedsel, dingen
0076;2025-03-25;voorgerecht;(ο) μεζές - (οι) μεζέδες;znw.;;voedsel, dingen
0077;;¹leerschool ²faculteit;(η) σχολή;znw.;;beroepen, maatschappij
0078;;opmerking;(το) σχόλιο;znw.;;grammatica
0079;;school;(το) σχολείο;znw.;;beroepen, maatschappij
0080;;van;από + acc.;vz.;;converseren
0081;;in;σε + acc.;vz.;;converseren
0082;;met;με + acc.;vz.;;converseren
0083;;Waarom?;Γιατί;;bijw.;vraagw.;converseren
0084;2025-02-18;in de buurt van， dichtbij;κοντά;bijw.;;geografie, cultuur
0085;;hier;εδώ;bijw.;;geografie, cultuur
0086;;maar;¹μα ²αλλά;vw.;;converseren
0087;;Griek;(ο) Έλληνας - (οι) Έλληνες;znw.;;geografie, cultuur
0088;;Griekse;(η) Ελληνίδα - (οι) Ελληνίδες;znw.;;geografie, cultuur
0089;;één;ένας μια ένα;telw.;;hoeveelheden, meten
0090;;daar;εκεί;bijw.;;geografie, cultuur
0091;;ik ook;κεγώ， κι εγώ;vnw.;uitdr.;converseren
0092;2025-02-11;ook， eensgelijks;επίσης;bijw.;;converseren
0093;2025-04-29;¹ja ²eigenlijk wel， inderdaad;¹ναι ²μάλιστα;uitdr.;;converseren, uitdrukkingen
0094;;papier;(το) χαρτί;znw.;;beroepen, maatschappij
0095;;kaartje， postkaart， visitekaartje;(η) κάρτα;znw.;;dingen
0096;;landkaart;(ο) χάρτης;znw.;;beroepen, maatschappij
;;;(τα) χαρτομάντηλα;;;
0097;;vriend;(ο) φίλος - (οι) φίλοι;znw.;;relaties, converseren
0098;;arts;(ο) ιάτρος;znw.;;relaties, converseren
0099;;les;(το) μάθημα - (τα) μαθήματα;znw.;;beroepen, maatschappij
0100;;mijn les;το μάθημά μου;znw. groep;;beroepen, maatschappij
0101;;mijn lerares;η καθηγήτριά μου;znw. groep;;beroepen, maatschappij
0102;;je telefoon;το τηλέφωνό σου;znw. groep;;converseren
0103;;doen;κάνω;ww.;;grammatica
0104;;jij doet;κάνεις;ww.;2e ev.;grammatica
0105;;hij doet;κάνει;ww.;3e ev.;grammatica
;;;Τι καιρό κάνει; Τι καιρό έχει;;;;
0106;;wij doen;κάνουμε;ww.;1e mv.;grammatica
0107;;jullie doen， u doet;κάνετε;ww.;2e mv.;grammatica
0108;;zij doen;κάνουν(ε);ww.;3e mv.;grammatica
0109;2025-02-25;gaan;¹πάω - πας, πάει, πάμε, πάτε, πάνε ²πηγαίνω - πηγαίνεις, πηγαίνει, πηγαίνουμε, πηγαίνετε, πηγαίνουν;ww.;;reizen, routines
0110;;jij gaat;πας;ww.;2e ev.;grammatica
0111;;hij gaat;πάει;ww.;3e ev.;grammatica
0112;;laten we gaan;πάμε;ww.;1e mv. imp.;grammatica
0113;;¹jullie gaan ²u gaat;πάτε;ww.;2e mv.;grammatica
0114;;zij gaan;πάνε， πηγαίνουν;ww.;3e mv.;grammatica
0115;;zeggen;λέω - λες, λέει, λέμε, λέτε, λένε;ww.;;grammatica
0116;;jij zegt woorden;λέεις λέξεις;ww.;;grammatica
0117;;hij zegt;λέει;ww.;3e ev.;grammatica
0118;;¹zegt u ²zeggen jullie;λέτε;ww.;2e mv.;grammatica
0119;;zij zeggen， ze noemen (hen);λένε;ww.;3e mv. cfr ‘Πώς σε λένε’, lett. ‘Hoe noemen ze je?’;converseren
0120;;Tot snel!;Τα λέμε!;zin;uitdr.;converseren, uitdrukkingen
