nl	praesens	aorist	futurum

liefhebben， houden van	αγαπάω/ώ	αγάπησα	θα αγαπήσω
kopen	αγοράζω	αγόρασα	θα αγοράσω
horen	ακούω	άκουσα	θα ακούσω
veranderen	αλλάζω	άλλαξα	θα αλλάξω
zich zorgen maken	ανησυχώ	ανησύχησα	θα ανησυχήσω
openen	ανοίγω	άνοιξα	θα ανοίξω
antwoorden	απαντάω/ώ	απάντησα	θα απαντήσω
beslissen	αποφασίζω	αποφάσισα	θα αποφασίσω
(te) laat zijn	αργώ	άργησα	θα αργήσω
beginnen	αρχίζω	άρχισα	θα αρχίσω
¹zetten， plaatsen	βάζω	έβαλα	θα βάλω
uitdoen， uithalen	βγάζω	έβγαλα	θα βγάλω
uitgaan， naar buiten gaan	βγαίνω	βγήκα	θα βγω
zien	βλέπω	είδα	θα δω
helpen	βοηθάω (ώ)	βοήθησα	θα βοηθήσω
het regent	βρέχει	έβρεξε	θα βρέξει
zich bevinden	βρίσκομαι	βρέθηκα	θα βρεθώ
vinden	βρίσκω	βρήκα	θα βρω
lachen	γελάω (ώ)	γέλασα	θα γελάσω
ouder worden	γερνάω (ώ)	γέρασα	θα γεράσω
worden	γίνομαι	έγινα	θα γίνω
vieren	γιορτάζω	γιόρτασα	θα γιορτάσω
kennen	γνωρίζω	γνώρισα	θα γνωρίσω
schrijven	γράφω	έγραψα	θα γράψω
terugkeren	γυρίζω	γύρισα	θα γυρίσω
¹tonen， laten zien ²aanwijzen	δείχνω	έδειξα	θα δείξω
lezen	διαβάζω	διάβασα	θα διαβάσω
kiezen	διαλέγω	διάλεξα	θα διαλέξω
geven	δίνω	έδωσα	θα δώσω
dorst hebben	διψάω (ώ)	δίψασα	θα διψάσω
werken	δουλεύω	δούλεψα	θα δουλέψω
zijn	είμαι	ήμουν(α)	θα είμαι
hopen	ελπίζω	ήλπισα	θα ελπίσω
komen	έρχομαι	ήρθα	θα έρθω
hebben	έχω	είχα	θα έχω
warm worden	ζεσταίνομαι	ζεστάθηκα	θα ζεσταθώ
leven	ζω	έζησα	θα ζήσω
willen	θέλω	ήθελα / θέλησα	θα θέλω / θα θελήσω
zich herinneren	θυμάμαι	θυμήθηκα	θα θυμηθώ
zitten	κάθομαι	κάθισα	θα καθίσω
bellen	καλώ	κάλεσα	θα καλέσω
doen	κάνω	έκανα	θα κάνω
roken	καπνίζω	κάπνισα	θα καπνίσω
begrijpen	καταλαβαίνω	κατάλαβα	θα καταλάβω
¹afstappen， uitstappen ²dalen	κατεβαίνω	κατέβηκα	θα κατεβώ
trakteren	κερνάω	κέρασα	θα κεράσω
huilen	κλαίω	έκλαψα	θα κλάψω
sluiten	κλείνω	έκλεισα	θα κλείσω
vervoegen	κλίνω	έκλινα	θα κλίνω
slapen	κοιμάμαι	κοιμήθηκα	θα κοιμηθώ
kijken	κοιτάζω/κοιτάω	κοίταξα	θα κοιτάξω
moe worden	κουράζομαι	κουράστηκα	θα κουραστώ
vasthouden， houden	κρατάω (ώ)	κράτησα	θα κρατήσω
ophangen	κρεμάω	κρέμασα	θα κρεμάσω
zeggen	λέω	είπα	θα πω
spijt hebben， het spijt me	λυπάμαι	λυπήθηκα	θα λυπηθώ
leren	μαθαίνω	έμαθα	θα μάθω
blijven	μένω	έμεινα	θα μείνω
praten， spreken	μιλάω (ώ)	μίλησα	θα μιλήσω
binnenkomen	μπαίνω	μπήκα	θα μπω
kunnen	μπορώ	μπόρεσα	θα μπορέσω
weten	ξέρω	ήξερα	θα ξέρω
vergeten	ξεχνάω (ώ)	ξέχασα	θα ξεχάσω
wakker worden	ξυπνάω (ώ)	ξύπνησα	θα ξυπνήσω
¹rijden， besturen， voeren ²gidsen	οδηγώ	οδήγησα	θα οδηγήσω
spelen	παίζω	έπαιξα	θα παίξω
nemen	παίρνω	πήρα	θα πάρω
met aandragen vragen	παρακαλώ	παρακάλεσα	θα παρακαλέσω
honger hebben	πεινάω (ώ)	πείνασα	θα πεινάσω
wachten	περιμένω	περίμενα	θα περιμένω
passeren	περνάω (ώ)	πέρασα	θα περάσω
wandelen	περπατάω (ώ)	περπάτησα	θα περπατήσω
vallen	πέφτω	έπεσα	θα πέσω
gaan	πηγαίνω，πάω	πήγα	θα πάω
drinken	πίνω	ήπια	θα πιω
zich wassen	πλένομαι	πλύθηκα	θα πλυθώ
betalen	πληρώνω	πλήρωσα	θα πληρώσω
pijn hebben	πονάω	πόνεσα	θα πονέσω
proberen	προσπαθώ	προσπάθησα	θα προσπαθήσω
vragen	ρωτάω (ώ)	ρώτησα	θα ρωτήσω
opstaan	σηκώνομαι	σηκώθηκα	θα σηκωθώ
(na)denken	σκέφτομαι	σκέφτηκα	θα σκεφτώ
student zijn	σπουδάζω	σπούδασα	θα σπουδάσω
versturen	στέλνω	έστειλα	θα στείλω
draai	στρίβω	έστριψα	θα στρίψω
vergeven	συγχωρώ	συγχώρεσα	θα συγχωρέσω
mee eens zijn， instemmen	συμφωνώ	συμφώνησα	θα συμφωνήσω
ontmoeten	συναντάω (ώ)	συνάντησα	θα συναντήσω
eindigen	τελειώνω	τελείωσα	θα τελειώσω
telefoneren	τηλεφωνώ	τηλεφώνησα	θα τηλεφωνήσω
lopen	τρέχω	έτρεξα	θα τρέξω
eten	τρώω	έφαγα	θα φάω
bestaan	υπάρχω	υπήρξα	θα υπάρξω
brengen	φέρνω	έφερα	θα φέρω
vertrekken	φεύγω	έφυγα	θα φύγω
dragen	φοράω (ώ)	φόρεσα	θα φορέσω
schuldig zijn	φταίω	έφταιξα	θα φταίξω
maken， bereiden， scheppen	φτιάχνω	έφτιαξα	θα φτιάξω
roepen	φωνάζω	φώναξα	θα φωνάξω
genieten	χαίρομαι	χάρηκα	θα χαρώ
losmaken	χαλάω (ώ)	χάλασα	θα χαλάσω
verliezen	χάνω	έχασα	θα χάσω
het sneeuwt	χιονίζει	χιόνισε	θα χιονίσει
zoeken	ψάχνω	έψαξα	θα ψάξω
zingen	ψωνίζω	ψώνισα	θα ψωνίσω
